,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,users_tr,posts_tr,hate_tr,url_tr,blocked
0,1210mw.com,125436.0,32128.0,46716.0,28156.0,1.4108516668916182,0.3613623071039727,0.5254479399822286,0.3166904743158581,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2418117604714986,0.1550029243712601,0.1798094659648175,0.0977189904170603,10833,380,3,0,0.0,0.0,0.0,0.0,1.0,1.2009369551760027,1.0,7.075172497848689,5.63828834117657,0
1,434.earth,973.0,474.0,556.0,239.0,1.6056105610561056,0.7821782178217822,0.91900826446281,0.3950413223140496,47.0,3192.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648514851485149,0.1947194719471947,0.2871287128712871,0.1146864686468646,2697,1086,2,6,0.0,0.0,0.0,0.0,0.0,1.8996910486020335,3.8371650527320855,3.147884627313519,2.7923063049217887,0
2,7td.org,3175.0,242.0,2447.0,220.0,1.0565723793677204,0.0805324459234609,0.8145805592543276,0.0732356857523302,14.0,157.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525790349417637,0.0239600665557404,0.2603993344425957,0.0221297836938435,383967,4285,2,22,0.0,0.0,0.0,0.0,1.0,1.5524632891554089,2.322647349924132,3.833751464907365,2.4963332478596985,1
3,80percent.social,10561.0,882.0,10190.0,801.0,1.7350090356497454,0.1448989650073928,1.6743345382845876,0.1316135392704568,18.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640052571053064,0.0627566945950386,0.3103334976178741,0.0324461968128799,21511,3841,13,6,0.0,0.0,0.0,0.0,0.0,1.6188704068605666,2.872694123142844,4.684006694481919,3.0967876821510023,0
4,a.nom.pl,2137.0,143.0,1345.0,163.0,1.5188343994314144,0.1016346837242359,0.9566145092460882,0.115931721194879,21.0,1935.0,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501776830135039,0.044776119402985,0.3081023454157782,0.0337597725657427,19702,12005,3,11,0.0,0.0,0.0,0.0,1.0,1.661000956165023,3.530044348723258,3.588950102675058,2.286770983670202,0
5,a.nti.social,43404.0,4993.0,14021.0,6728.0,1.9974229176254024,0.2297745052922227,0.6452666942795343,0.3096322886465093,93.0,1953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757248044178555,0.0977680625862862,0.2210998619420156,0.0647952139898757,429349,13067,18,77,0.0,0.0,0.0,0.0,1.0,2.1285335083299706,3.535496192565372,5.928183329966838,4.134220102046949,0
6,agora.echelon.pl,3436.0,556.0,1893.0,859.0,1.45040101308569,0.2346981848881385,0.7994087837837838,0.3627533783783784,2.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154917686787674,0.1053186998733642,0.2857745884339384,0.0783030814689742,470291,27685,6,3,0.0,0.0,0.0,0.0,1.0,1.122462048309373,2.2564670105409226,3.8845632082269055,2.8675596800452974,0
7,akane.ml,46.0,290.0,113.0,240.0,0.0314852840520191,0.1984941820670773,0.0773972602739726,0.1643835616438356,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078713210130047,0.0800821355236139,0.0386721423682409,0.0455167693360711,13143,935,8,7,0.0,0.0,0.0,0.0,0.0,1.0,1.8859727740585397,1.892894046431534,2.5727623186035333,0
8,akko.kalasarn.se,111770.0,13844.0,55033.0,23446.0,1.5329858729941024,0.1898779316966122,0.7548176493985653,0.3215789545872252,1.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572760938142916,0.0857701275545192,0.26122616924976,0.0765601426416129,455941,11347,10,79,0.0,0.0,0.0,0.0,1.0,1.0,3.2834104683859,6.940448593273574,4.90016004809262,0
9,akuochi.art,4676.0,2648.0,9283.0,3086.0,0.8451111512741731,0.4785830471715163,1.6780549530007232,0.5578452639190167,2.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1717874570757274,0.089282486896801,0.3165552141695283,0.0806072654979215,4827,2659,2,38,0.0,0.0,0.0,0.0,0.0,1.122462048309373,1.3480061545972777,4.089269660924749,3.719515134156393,0
10,alcatir.com,3339.0,368.0,1699.0,595.0,1.6728456913827656,0.1843687374749499,0.8516290726817043,0.2982456140350877,8.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585170340681362,0.0834168336673346,0.311372745490982,0.0586172344689378,16744,12259,2,34,0.0,0.0,0.0,0.0,0.0,1.414213562373095,2.367293530872497,3.866067240135884,2.6769564325987623,0
11,altelectron.org.uk,17662.0,2714.0,6016.0,3760.0,1.6990860990860992,0.2610870610870611,0.5787954589186068,0.3617471618241293,9.0,1593.0,7.0,0.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277970177970178,0.1249639249639249,0.2296777296777297,0.084992784992785,419024,15355,7,38,0.0,0.0,0.0,0.0,0.0,1.4422495703074083,3.417453620405079,5.103169342069578,3.7348082306548736,0
12,ambrosia.cafe,628.0,18.0,219.0,7.0,1.9625,0.05625,0.684375,0.021875,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984375,0.0265625,0.3203125,0.0109375,17923,12811,1,14,0.0,0.0,0.0,0.0,0.0,1.2009369551760027,1.9786024464679264,2.9263522876519565,1.6188704068605666,0
13,anime.website,17255.0,1971.0,13620.0,2534.0,1.2239324726911618,0.139807064831891,0.966163013407108,0.1797545577073136,682.0,234474.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201517945807916,0.0523123847354234,0.2785856149808483,0.0484465881685345,34286,24815,31,13,0.0,0.0,0.0,0.0,0.0,2.966862339334362,7.852641702176152,5.083379040517079,3.5409063231245885,1
14,aorinngo.tk,13.0,19.0,0.0,470.0,0.0407523510971786,0.0595611285266457,0.0,1.4779874213836477,1.0,1833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006269592476489,0.0282131661442006,0.0,0.3322884012539185,5266,373,2,0,0.0,0.0,0.0,0.0,0.0,1.0,3.498327071446336,1.5334062370163877,1.6335243030704945,0
